"Code";"Name";"Indicators";"Year";"Value";"Measure Unit";"Attribute";
0205025;"Bolków - rural area (5)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205025;"Bolków - rural area (5)";"population chenge per 1000 inhabitants";"2023";-9.6;"person";"";
0205025;"Bolków - rural area (5)";"population in thousands";"2023";4.96;"thousand persons";"";
0205025;"Bolków - rural area (5)";"population in thousands men";"2023";2.50;"thousand persons";"";
0205025;"Bolków - rural area (5)";"population in thousands women";"2023";2.45;"thousand persons";"";
0205025;"Bolków - rural area (5)";"urbanization rate";"2023";0.0;"%";"";
0205032;"Męcinka (2)";"population per 1 km2";"2023";35.3;"person";"";
0205032;"Męcinka (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205032;"Męcinka (2)";"population chenge per 1000 inhabitants";"2023";8.5;"person";"";
0205032;"Męcinka (2)";"population in thousands";"2023";5.22;"thousand persons";"";
0205032;"Męcinka (2)";"population in thousands men";"2023";2.60;"thousand persons";"";
0205032;"Męcinka (2)";"population in thousands women";"2023";2.62;"thousand persons";"";
0205032;"Męcinka (2)";"urbanization rate";"2023";0.0;"%";"";
0205042;"Mściwojów (2)";"population per 1 km2";"2023";55.4;"person";"";
0205042;"Mściwojów (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205042;"Mściwojów (2)";"population chenge per 1000 inhabitants";"2023";-0.5;"person";"";
0205042;"Mściwojów (2)";"population in thousands";"2023";3.98;"thousand persons";"";
0205042;"Mściwojów (2)";"population in thousands men";"2023";2.01;"thousand persons";"";
0205042;"Mściwojów (2)";"population in thousands women";"2023";1.97;"thousand persons";"";
0205042;"Mściwojów (2)";"urbanization rate";"2023";0.0;"%";"";
0205052;"Paszowice (2)";"population per 1 km2";"2023";41.5;"person";"";
0205052;"Paszowice (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205052;"Paszowice (2)";"population chenge per 1000 inhabitants";"2023";9.4;"person";"";
0205052;"Paszowice (2)";"population in thousands";"2023";4.20;"thousand persons";"";
0205052;"Paszowice (2)";"population in thousands men";"2023";2.10;"thousand persons";"";
0205052;"Paszowice (2)";"population in thousands women";"2023";2.10;"thousand persons";"";
0205052;"Paszowice (2)";"urbanization rate";"2023";0.0;"%";"";
0205062;"Wądroże Wielkie (2)";"population per 1 km2";"2023";41.8;"person";"";
0205062;"Wądroże Wielkie (2)";"population density of the built-up and urbanized area";"2023";;"person";"";
0205062;"Wądroże Wielkie (2)";"population chenge per 1000 inhabitants";"2023";-9.1;"person";"";
